Name,Country,Age,Matches,Runs,Wickets,Average,StrikeRate
Virat Kohli,India,37,275,14000,4,58.2,93.5
Rohit Sharma,India,39,260,12500,8,49.8,91.7
Babar Azam,Pakistan,31,285,13500,12,52.4,89.6
Joe Root,England,35,320,16500,65,50.7,86.9
Ben Stokes,England,35,250,9500,210,36.8,88.4
Kane Williamson,New Zealand,36,270,14500,8,54.6,82.7
Steve Smith,Australia,37,290,13200,22,51.9,87.3
David Warner,Australia,40,300,15500,4,45.2,97.1
Shubman Gill,India,27,180,8500,3,52.1,94.8
Rishabh Pant,India,29,210,7800,45,42.7,102.5
Jasprit Bumrah,India,32,190,850,410,14.8,68.2
Ravindra Jadeja,India,37,300,6800,520,35.9,84.7
Ravichandran Ashwin,India,40,250,4200,710,28.4,72.5
KL Rahul,India,34,220,9200,2,48.7,88.9
Hardik Pandya,India,33,180,5200,180,31.6,112.4
Mohammad Rizwan,Pakistan,34,210,8200,5,44.8,91.2
Shaheen Afridi,Pakistan,26,150,620,280,16.2,72.8
Shakib Al Hasan,Bangladesh,39,320,11500,710,38.5,82.3
Mushfiqur Rahim,Bangladesh,39,330,12000,35,40.2,79.8
Mahmudullah,Bangladesh,40,300,8500,160,37.4,81.6
Tamim Iqbal,Bangladesh,37,250,10500,5,44.9,82.7
Mustafizur Rahman,Bangladesh,31,180,550,290,15.7,75.4
Mehidy Hasan Miraz,Bangladesh,29,190,3800,310,30.6,78.9
Litton Das,Bangladesh,32,210,7600,18,39.8,87.6
Taskin Ahmed,Bangladesh,31,140,480,220,13.5,71.8
Jos Buttler,England,36,260,11000,5,41.7,145.2
Jofra Archer,England,31,120,450,210,12.8,76.4
Jonny Bairstow,England,37,250,10500,2,39.9,137.6
Jason Roy,England,36,220,8200,1,38.4,108.5
Liam Livingstone,England,33,150,4800,85,34.2,141.7
Pat Cummins,Australia,33,180,1800,380,21.5,74.6
Mitchell Starc,Australia,36,200,2200,430,20.8,79.3
Glenn Maxwell,Australia,38,230,7800,150,36.7,153.8
Mitchell Marsh,Australia,34,190,6500,95,38.1,132.6
Travis Head,Australia,32,180,8200,12,47.5,137.9
Marnus Labuschagne,Australia,32,170,7800,14,51.2,86.4
Alex Carey,Australia,35,180,5200,20,38.9,92.7
Adam Zampa,Australia,34,160,600,270,17.2,69.8
Quinton de Kock,South Africa,33,240,10500,4,45.8,139.4
Kagiso Rabada,South Africa,31,190,1500,360,18.7,71.5
Aiden Markram,South Africa,31,170,6500,120,39.4,121.6
David Miller,South Africa,37,220,7200,5,41.2,138.8
Heinrich Klaasen,South Africa,35,170,5900,2,43.6,145.7
Tabraiz Shamsi,South Africa,36,130,320,190,14.6,68.9
Faf du Plessis,South Africa,41,280,11500,2,43.7,131.2
Nicholas Pooran,West Indies,30,180,6800,4,42.8,145.9
Andre Russell,West Indies,38,190,5800,180,29.6,168.3
Jason Holder,West Indies,34,210,5200,230,30.8,119.4
