Name,Country,Club,Position,Age,Height,Weight
Lionel Messi,Argentina,Inter Miami,Forward,39,170,72
Cristiano Ronaldo,Portugal,Al Nassr,Forward,41,187,83
Neymar Jr,Brazil,Santos,Forward,34,175,68
Kylian Mbappe,France,Real Madrid,Forward,27,178,75
Erling Haaland,Norway,Manchester City,Forward,26,195,94
Kevin De Bruyne,Belgium,Napoli,Midfielder,35,181,75
Mohamed Salah,Egypt,Liverpool,Forward,34,175,71
Vinicius Jr,Brazil,Real Madrid,Forward,26,176,73
Jude Bellingham,England,Real Madrid,Midfielder,23,186,75
Harry Kane,England,Bayern Munich,Forward,33,188,86
Robert Lewandowski,Poland,Barcelona,Forward,38,185,81
Luka Modric,Croatia,AC Milan,Midfielder,41,172,66
Karim Benzema,France,Al Ittihad,Forward,38,185,81
Sadio Mane,Senegal,Al Nassr,Forward,34,175,69
Son Heung-min,South Korea,LAFC,Forward,34,183,77
Rodri,Spain,Manchester City,Midfielder,30,191,82
Bernardo Silva,Portugal,Manchester City,Midfielder,32,173,64
Antoine Griezmann,France,Atletico Madrid,Forward,35,176,73
Virgil van Dijk,Netherlands,Liverpool,Defender,35,193,92
Thibaut Courtois,Belgium,Real Madrid,Goalkeeper,34,199,96
Alisson Becker,Brazil,Liverpool,Goalkeeper,33,193,91
Manuel Neuer,Germany,Bayern Munich,Goalkeeper,40,193,93
Marc-Andre ter Stegen,Germany,Barcelona,Goalkeeper,34,187,85
Ruben Dias,Portugal,Manchester City,Defender,29,187,82
Antonio Rudiger,Germany,Real Madrid,Defender,33,190,85
Achraf Hakimi,Morocco,Paris Saint-Germain,Defender,27,181,73
Trent Alexander-Arnold,England,Real Madrid,Defender,27,175,69
Andrew Robertson,Scotland,Liverpool,Defender,32,178,64
Theo Hernandez,France,Al Hilal,Defender,28,184,81
William Saliba,France,Arsenal,Defender,25,193,92
Bukayo Saka,England,Arsenal,Forward,25,178,72
Phil Foden,England,Manchester City,Midfielder,26,171,70
Declan Rice,England,Arsenal,Midfielder,27,188,80
Martin Odegaard,Norway,Arsenal,Midfielder,27,178,69
Cole Palmer,England,Chelsea,Midfielder,24,189,74
Kai Havertz,Germany,Arsenal,Forward,27,193,83
Federico Valverde,Uruguay,Real Madrid,Midfielder,28,182,78
Pedri,Spain,Barcelona,Midfielder,23,174,60
Gavi,Spain,Barcelona,Midfielder,22,173,70
Frenkie de Jong,Netherlands,Barcelona,Midfielder,29,181,74
Joshua Kimmich,Germany,Bayern Munich,Midfielder,31,177,75
Toni Kroos,Germany,Retired,Midfielder,36,183,76
Thomas Muller,Germany,Bayern Munich,Forward,36,185,76
Ilkay Gundogan,Germany,Galatasaray,Midfielder,35,180,80
Leroy Sane,Germany,Galatasaray,Forward,30,183,75
Jamal Musiala,Germany,Bayern Munich,Midfielder,23,184,72
Florian Wirtz,Germany,Liverpool,Midfielder,23,176,70
Joshua Zirkzee,Netherlands,Manchester United,Forward,25,193,89
Matthijs de Ligt,Netherlands,Manchester United,Defender,27,187,89
Frenkie de Jong,Netherlands,Barcelona,Midfielder,29,181,74
Memphis Depay,Netherlands,Corinthians,Forward,32,176,78
Christian Eriksen,Denmark,Free Agent,Midfielder,34,182,70
Rasmus Hojlund,Denmark,Manchester United,Forward,23,191,85
Pierre-Emile Hojbjerg,Denmark,Marseille,Midfielder,31,185,84
Martin Zubimendi,Spain,Arsenal,Midfielder,27,181,76
Dani Olmo,Spain,Barcelona,Midfielder,28,179,72
Mikel Oyarzabal,Spain,Real Sociedad,Forward,29,181,78
Rodrigo Hernandez,Spain,Manchester City,Midfielder,30,191,82
Aymeric Laporte,Spain,Al Nassr,Defender,32,191,85
Pedri Gonzalez,Spain,Barcelona,Midfielder,23,174,60
Joao Cancelo,Portugal,Al Hilal,Defender,32,182,74
Bruno Fernandes,Portugal,Manchester United,Midfielder,32,179,69
Joao Felix,Portugal,Al Nassr,Forward,26,181,70
Rafael Leao,Portugal,AC Milan,Forward,27,188,81
Diogo Jota,Portugal,Al Ittihad,Forward,29,178,70
